Infosatz;Material;Lieferant;LKA;Kurztext;UrL;Lieferantenmaterialnr.
5300007486;6611;77020;;;DE;
5300008575;8883;77020;;;DE;
5300008794;4830;77020;;;DE;
5300009229;5555;77020;;;DE;
5300010636;5708;77020;;;DE;
5300011070;5713;77020;;;DE;
5300011075;5132;77020;;;DE;
5300011531;6528;77020;;;DE;
5300011699;6831;77020;;;DE;
5300012148;5107;77020;;;DE;
5300012361;5518;77020;;;DE;
5300012485;8852;77020;;;DE;
5300012487;5732;77020;;;DE;
5300013094;4456;77020;;;DE;
5300013095;6858;77020;;;DE;
5300013181;5227;77020;;;DE;
5300013613;5535;77020;;;DE;
5300013618;5525;77020;;;DE;
5300013661;5909;77020;;;DE;
5300013816;3607;77020;;;DE;
5300014412;8862;77020;;;DE;
5300014413;8864;77020;;;DE;
5300015675;8338;77020;;;DE;
5300016282;5998;77020;;;DE;
5300016767;4593;77020;;;DE;
5300016976;4595;77020;;;DE;
5300017632;3276;77020;;;DE;
5300017872;5751;77020;;;DE;
5300018151;5987;77020;;;DE;
5300018307;5605;77020;;;DE;
5300018309;6862;77020;;;DE;
5300018431;8364;77020;;;DE;
5300018481;6002;77020;;;DE;
5300021770;5029;77020;;;DE;
5300022013;6898;77020;;;DE;
5300022359;5133;77020;;;DE;
5300022410;8381;77020;;;DE;
5300023080;5004;77020;;;DE;
5300023929;8342;77020;;;DE;
5300043835;5277;77020;;;DE;
5300032427;5170;77020;;;DE;
5300050129;7467;77020;;;DE;
5300050150;7592;77020;;;DE;
5300048157;6787;77020;;;DE;
5300004660;6502;77020;;;DE;
5300006742;6675;77020;;;DE;
5300007237;8613;77020;;;DE;
5300007290;5939;77020;;;DE;
5300007291;5926;77020;;;DE;
5300007514;6610;77020;;;DE;
5300007657;5957;77020;;;DE;
5300007693;7909;77020;;;DE;
5300007847;5016;77020;;;DE;
5300007902;6037;77020;;;DE;
5300008504;5749;77020;;;DE;
5300008606;5757;77020;;;DE;
5300010256;5705;77020;;;DE;
5300010840;6035;77020;;;DE;
5300011476;6789;77020;;;DE;
5300011586;6691;77020;;;DE;
5300011722;8878;77020;;;DE;
5300011745;6218;77020;;;DE;
5300011760;5617;77020;;;DE;
5300011953;6703;77020;;;DE;
5300011987;8380;77020;;;DE;
5300012005;5615;77020;;;DE;
5300012030;8337;77020;;;DE;
5300012264;5722;77020;;;DE;
5300012290;5550;77020;;;DE;
5300012423;6952;77020;;;DE;
5300012430;3504;77020;;;DE;
5300012540;3700;77020;;;DE;
5300012624;6666;77020;;;DE;
5300012676;6039;77020;;;DE;
5300012726;5500;77020;;;DE;
5300012856;4442;77020;;;DE;
