Lieferant;Name des Lieferanten;Straße;Lnd;PLZ;Ort;Gruppe;Suchbegriff;S;SF;LöVm;CPD-Konto;EkOr;Bezeichnung;ZBed;IncTm;Inco. 2;S_1;L;MindWert;Währ.;Verkäufer;Telefon;EkOr_2;Anzahl
10019;Rehms Druck GmbH;Landwehr 52;DE;46325;Borken/Westfalen;1;REHMS;;;;;1000;Zentraleinkauf;67;;;;;0;EUR;;;;1
10043;Vibromac Technology Solutions;Via Primo Maggio 2/4;IT;20070;San Zenone al Lambro;1;VIBROMAC I;;;;;1000;Zentraleinkauf;33;FH;;;;0;EUR;;;;1
10044;xxx Merck Chemicals GmbH;Feldbergstr. 80;DE;64293;Darmstadt;1;MERCK CHEM;X;99;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
10052;Netzsch-Gerätebau GmbH;Wittelsbacher Str. 42;DE;95100;Selb;1;NETZSCH;;;;;1000;Zentraleinkauf;39;CIP;Hamburg;;;0;EUR;;;;1
10060;Hermann Fritzsche GmbH;Stresemannstr. 375;DE;22761;Hamburg;1;FRITZSCHE;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
10073;Bohmeyer + Schuster GmbH;Jungstr. 4;DE;10247;Berlin;1;BOHMEYER +;;;;;1000;Zentraleinkauf;39;;;;;0;EUR;;;;1
10074;SMC Pneumatik GmbH;Boschring 13 - 15;DE;63329;Engelsbach;1;SMC PNEUMA;;;;;1000;Zentraleinkauf;39;EXW;;;;0;EUR;;;;1
10083;Tartler GmbH;Relystr. 48;DE;64720;Michelstadt;1;TARTLER;;;;;1000;Zentraleinkauf;90;DAP;;;;0;EUR;;;;1
10093;eNeG Vertrieb-und;Försterweg 144-146;DE;22525;Hamburg;1;ENEG;;;;;1000;Zentraleinkauf;39;DAP;Hamburg;;;0;EUR;;;;1
10129;Composyst GmbH;Am Penzinger Feld 15b;DE;86899;Landsberg am Lech;1;COMPOSYST;;;;;1000;Zentraleinkauf;93;EXW;;;;0;EUR;;;;1
10136;PPS. Imaging GmbH;Friesenweg Haus 1-3 4;DE;22763;Hamburg;1;PPS;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
10142;HBC-radiomatic GmbH;Hauert 18;DE;44227;Dortmund;1;HBC;;;;;1000;Zentraleinkauf;31;EXW;;;;0;EUR;;;;1
10143;E.I.S. AIRCRAFT;Im Hengstfeld 26;DE;32657;Lemgo;1;DEVA;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
10145;xxx BYK Additives GmbH;Stadtwaldstraße 44;DE;85368;Moosburg;1;(L) BYK AD;X;3;;;1000;Zentraleinkauf;39;EXW;;X;;0;EUR;;;;1
10175;Tool-Temp Deutschland GmbH;Am Rottland 2;DE;58540;Meinerzhagen;1;TOOL;;;;;1000;Zentraleinkauf;198;DAP;;;;0;EUR;;;;1
10255;Horst Busch Elektro-Technik GmbH;Karnapp 37;DE;21079;Hamburg;1;BUSCH;;;;;1000;Zentraleinkauf;67;DAP;;;;0;EUR;;;;1
10294;Physikalisch-Technische Bundesanst.;Bundesallee 100;DE;38116;Braunschweig;1;PHYSIKALIS;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
10295;Bandelin electronic GmbH;Heinrichstraße 3-4;DE;12207;Berlin;1;BANDELIN;;;;;1000;Zentraleinkauf;1;DAP;;;;0;EUR;;;;1
10309;NEOVEND GmbH;Sternbachplatz 5;AT;A-6020;Innsbbruck;1;ALLESBECHE;;;;;1000;Zentraleinkauf;67;;;;;0;EUR;;;;1
10321;Gustav Klauke GmbH;Auf dem Kapp 46;DE;42855;Remscheid;1;KLAUKE;;;;;1000;Zentraleinkauf;29;DDP;;;;0;EUR;;;;1
