Material;Werk;BewertArt;Materialkurztext;Ltz. Änd;MArt;Warengrp;BME;EKG;ABC;DMk;BewKl;Prs;Preis;Währg;pro;Angelegt;Preisänd.;_1
4803.2;2210;;(Z) BYK 306;13.03.2025;ROH;5050;KG;220;;PD;3004;V;4630;USD;1000;GELFORT;;
4803.2;2250;;(Z) BYK 306;13.03.2025;ROH;5050;KG;220;Z;PD;3004;V;4630;USD;1000;GELFORT;;
4830.2;2210;;(Z) Byk 378;13.03.2025;ROH;5050;KG;220;A;PD;3004;V;41111,11;USD;1000;GELFORT;;
4830.2;2250;;(Z) Byk 378;13.03.2025;ROH;5050;KG;220;Z;PD;3004;V;41131,85;USD;1000;GELFORT;;
4833.2;2210;;(L) ORGASOL 2001 EXD NAT 1;13.03.2025;ROH;5070;KG;220;;PD;3004;V;27925,38;USD;1000;GELFORT;;
4833.2;2250;;(L) ORGASOL 2001 EXD NAT 1;13.03.2025;ROH;5070;KG;220;Z;PD;3004;V;27925,38;USD;1000;GELFORT;;
5000.2;2210;;(L) UMF01-ULTRA GOLD MINI;08.07.2025;ROH;5800;KG;220;A;PD;3000;V;210000;USD;1000;SZEGEDI;;
5000.2;2250;;(L) UMF01-ULTRA GOLD MINI;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;210000;USD;1000;SZEGEDI;;
5002.2;2210;;(Z) UMF01-ULTRA GOLD MINI;13.03.2025;ROH;2041;KG;220;A;PD;3000;V;0;USD;1000;SZEGEDI;;
5002.2;2250;;(Z) UMF01-ULTRA GOLD MINI;13.03.2025;ROH;2041;KG;220;Z;PD;3000;V;0;USD;1000;SZEGEDI;;
5019.2;2210;;(L) XIRALLIC T 60-10 SW CRYSTAL SILVER;08.07.2025;ROH;5800;KG;220;;PD;3000;V;94000;USD;1000;GELFORT;;
5019.2;2250;;(L) XIRALLIC T 60-10 SW CRYSTAL SILVER;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;94000;USD;1000;GELFORT;;
5029.2;2210;;(Z) STAPA METALLUX 2197 Aluminium;13.03.2025;ROH;2064;KG;220;;PD;3000;V;18787,23;USD;1000;GELFORT;;
5029.2;2250;;(Z) STAPA METALLUX 2197 Aluminium;13.03.2025;ROH;2064;KG;220;Z;PD;3000;V;18789,71;USD;1000;GELFORT;;
5036.2;2210;;(L) IRIODIN 9103 STERLINGSILBER WR;08.07.2025;ROH;5800;KG;220;;PD;3000;V;14000;USD;1000;GELFORT;;
5036.2;2250;;(L) IRIODIN 9103 STERLINGSILBER WR;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;14000;USD;1000;GELFORT;;
5044.2;2210;;(L) MEARLIN MAJESTIC GOLD 9222 X;08.07.2025;ROH;5800;KG;220;;PD;3000;V;19720;USD;1000;GELFORT;;
5044.2;2250;;(L) MEARLIN MAJESTIC GOLD 9222 X;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;19720;USD;1000;GELFORT;;
5052.2;2210;;(Z) IRIODIN 9119 POLARWEISS WR;13.03.2025;ROH;1026;KG;220;;PD;3000;V;16930;USD;1000;GELFORT;;
5052.2;2250;;(Z) IRIODIN 9119 POLARWEISS WR;13.03.2025;ROH;1026;KG;220;Z;PD;3000;V;16930;USD;1000;GELFORT;;
5053.2;2210;;(L)High Solid Micro White Acrylic Tinter;08.07.2025;ROH;5800;KG;220;A;PD;3000;V;0;USD;1000;SZEGEDI;;
5053.2;2250;;(L)High Solid Micro White Acrylic Tinter;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;0;USD;1000;SZEGEDI;;
5062.2;2210;;(L) NO.11 STRONTIUM PHOSPHATE;13.03.2025;ROH;2100;KG;220;;PD;3000;V;6984,52;USD;1000;GELFORT;;
5062.2;2250;;(L) NO.11 STRONTIUM PHOSPHATE;13.03.2025;ROH;2100;KG;220;Z;PD;3000;V;6984,52;USD;1000;GELFORT;;
5081.2;2210;;(Z) XIRALLIC T60-20SW SUNBEAM GOLD;13.03.2025;ROH;2041;KG;220;;PD;3000;V;93915,64;USD;1000;GELFORT;;
5081.2;2250;;(Z) XIRALLIC T60-20SW SUNBEAM GOLD;13.03.2025;ROH;2041;KG;220;Z;PD;3000;V;93915,64;USD;1000;GELFORT;;
5120.2;2210;;(L) IRIODIN 9602  SILBERGRAU  SW;08.07.2025;ROH;5800;KG;220;;PD;3000;V;34099,72;USD;1000;GELFORT;;
5120.2;2250;;(L) IRIODIN 9602  SILBERGRAU  SW;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;34100;USD;1000;GELFORT;;
5132.2;2210;;(L) IRIODIN 9307 STAR GOLD SW;08.07.2025;ROH;5800;KG;220;;PD;3000;V;30000;USD;1000;GELFORT;;
5132.2;2250;;(L) IRIODIN 9307 STAR GOLD SW;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;30000;USD;1000;GELFORT;;
5165.2;2210;;(Z) Firemist Red 9G430L;13.03.2025;ROH;2043;KG;220;;PD;3000;V;68165,14;USD;1000;SZEGEDI;;
5165.2;2250;;(Z) Firemist Red 9G430L;13.03.2025;ROH;2043;KG;220;Z;PD;3000;V;68165,14;USD;1000;SZEGEDI;;
5166.2;2210;;(Z) Firemist Pearl 9G130L;13.03.2025;ROH;2048;KG;220;;PD;3000;V;68199,05;USD;1000;SZEGEDI;;
5166.2;2250;;(Z) Firemist Pearl 9G130L;13.03.2025;ROH;2048;KG;220;Z;PD;3000;V;68199,05;USD;1000;SZEGEDI;;
5269.2;2200;;(Z) BAYFERROX SCHWARZ 303 T;13.03.2025;ROH;2030;KG;220;;PD;3000;V;0;USD;1000;GELFORT;;
5269.2;2210;;(Z) BAYFERROX SCHWARZ 303 T;13.03.2025;ROH;2030;KG;220;;PD;3000;V;1710;USD;1000;GELFORT;;
5269.2;2250;;(Z) BAYFERROX SCHWARZ 303 T;13.03.2025;ROH;2030;KG;220;Z;PD;3000;V;1710;USD;1000;GELFORT;;
5403.2;2210;;(Z) HELIOGEN BLAU L 6920;13.03.2025;ROH;2015;KG;220;;PD;3000;V;0;USD;1000;SZEGEDI;;
5403.2;2250;;(Z) HELIOGEN BLAU L 6920;13.03.2025;ROH;2015;KG;220;Z;PD;3000;V;0;USD;1000;SZEGEDI;;
5435.2;2210;;(Z) FIREMIST BLUE  9G630 L;13.03.2025;ROH;2015;KG;220;A;PD;3000;V;0;USD;1000;SZEGEDI;;
5435.2;2250;;(Z) FIREMIST BLUE  9G630 L;13.03.2025;ROH;2015;KG;220;Z;PD;3000;V;0;USD;1000;SZEGEDI;;
5526;2250;;(L) PALIOTOL GELB L 0962 HD;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;38599,55;USD;1000;SZEGEDI;;
5526.2;2210;;(L) PALIOTOL GELB L 0962 HD;08.07.2025;ROH;5800;KG;220;;PD;3000;V;38599,64;USD;1000;GELFORT;;
5526.2;2250;;(L) PALIOTOL GELB L 0962 HD;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;38599,55;USD;1000;GELFORT;;
5551.2;2210;;(Z) SICOTRANS GELB L 1916;13.03.2025;ROH;2011;KG;220;;PD;3000;V;10430;USD;1000;GELFORT;;
5551.2;2250;;(Z) SICOTRANS GELB L 1916;13.03.2025;ROH;2011;KG;220;Z;PD;3000;V;10430;USD;1000;GELFORT;;
558;700;;Faltkiste f. Airbus 390 x 390 x 242 mm;16.09.2021;ROH;8010;ST;70;K;PD;3025;V;0;EUR;1000;SZEGEDI;;
5713.2;2210;;(L) IRIODIN 9524 ROTSATIN SW;08.07.2025;ROH;5800;KG;220;;PD;3000;V;11750;USD;1000;GELFORT;;
5713.2;2250;;(L) IRIODIN 9524 ROTSATIN SW;08.07.2025;ROH;5800;KG;220;Z;PD;3000;V;11750;USD;1000;GELFORT;;
5717.2;2210;;(Z) HOSTAPERM RED VIOLET ER 02;13.03.2025;ROH;2014;KG;220;;PD;3000;V;0;USD;1000;KOCH;;
5717.2;2250;;(Z) HOSTAPERM RED VIOLET ER 02;13.03.2025;ROH;2014;KG;220;Z;PD;3000;V;0;USD;1000;KOCH;;
577;700;;(L) überschreiben;16.09.2021;ROH;8030;ST;70;K;PD;3025;V;1980;EUR;1000;SZEGEDI;;
579;700;;Mischer für u-TAH Universalkartuschen;16.09.2021;ROH;8010;ST;70;K;PD;3025;V;280,87;EUR;1000;SZEGEDI;;
580;700;;Karton 392 x 195 x 220/30 mm;16.09.2021;ROH;8010;ST;70;D;PD;3025;V;605;EUR;1000;SZEGEDI;;
5800.2;2210;;(Z) HOSTAPERM BRAUN HFR 01;13.03.2025;ROH;2017;KG;220;;PD;3000;V;45600;USD;1000;GELFORT;;
5800.2;2250;;(Z) HOSTAPERM BRAUN HFR 01;13.03.2025;ROH;2017;KG;220;Z;PD;3000;V;45600;USD;1000;GELFORT;;
581;700;;Einsatz für Karton 392 x 195 x 220;16.09.2021;ROH;8010;ST;70;D;PD;3025;V;411,01;EUR;1000;SZEGEDI;;
5901.2;2210;;(Z) SHIELDEX AC 5;13.03.2025;ROH;2100;KG;220;;PD;3000;V;8840;USD;1000;GELFORT;;
5901.2;2250;;(Z) SHIELDEX AC 5;13.03.2025;ROH;2100;KG;220;Z;PD;3000;V;8840;USD;1000;GELFORT;;
5911.2;2210;;(L) SACHTLEBEN MICRO;08.07.2025;ROH;5800;KG;220;;PD;3001;V;300,1;USD;1000;GELFORT;;
5911.2;2250;;(L) SACHTLEBEN MICRO;08.07.2025;ROH;5800;KG;220;Z;PD;3001;V;300,1;USD;1000;GELFORT;;
5920.2;2210;;(L) ACEMATT OK 412;13.03.2025;ROH;5070;KG;220;;PD;3004;V;2912,62;USD;1000;GELFORT;;
5920.2;2250;;(L) ACEMATT OK 412;13.03.2025;ROH;5070;KG;220;Z;PD;3004;V;2912,62;USD;1000;GELFORT;;
5959.2;2210;;(L) ORGASOL 2002 ES 5 NAT 3;13.03.2025;ROH;5070;KG;220;;PD;3004;V;27898,99;USD;1000;GELFORT;;
5959.2;2250;;(L) ORGASOL 2002 ES 5 NAT 3;13.03.2025;ROH;5070;KG;220;Z;PD;3004;V;27898,99;USD;1000;GELFORT;;
5964.2;2210;;(L) SYLOID C 809;13.03.2025;ROH;5070;KG;220;;PD;3004;V;16525,04;USD;1000;GELFORT;;
5964.2;2250;;(L) SYLOID C 809;13.03.2025;ROH;5070;KG;220;Z;PD;3004;V;16525,03;USD;1000;GELFORT;;
6034.2;2210;;(L) EPIKURE 6870-W-53;08.07.2025;ROH;5800;KG;220;;PD;3003;V;0;USD;1000;SZEGEDI;;
6034.2;2250;;(L) EPIKURE 6870-W-53;08.07.2025;ROH;5800;KG;220;Z;PD;3003;V;0;USD;1000;SZEGEDI;;
6054.2;2210;;(Z) BAYHYDROL XP 2601;13.03.2025;ROH;1026;KG;220;;PD;3003;V;3943,33;USD;1000;GELFORT;;
6054.2;2250;;(Z) BAYHYDROL XP 2601;13.03.2025;ROH;1026;KG;220;Z;PD;3003;V;3943,33;USD;1000;GELFORT;;
6205.2;2210;;(L) N-PROPYLACETAT;13.03.2025;ROH;4010;KG;220;;PD;3002;V;1400;USD;1000;GELFORT;;
6205.2;2250;;(L) N-PROPYLACETAT;13.03.2025;ROH;4010;KG;220;Z;PD;3002;V;5094,09;USD;1000;GELFORT;;
6226.2;2210;;(Z) TOLUOL;13.03.2025;ROH;4010;KG;220;;PD;3002;V;760;USD;1000;GELFORT;;
6226.2;2250;;(Z) TOLUOL;13.03.2025;ROH;4010;KG;220;Z;PD;3002;V;760;USD;1000;GELFORT;;
6227.2;2210;;(L) XYLOL, UNVERGÄLLT;13.03.2025;ROH;4010;KG;220;;PD;3002;V;367,65;USD;1000;GELFORT;;
6227.2;2250;;(L) XYLOL, UNVERGÄLLT;13.03.2025;ROH;4010;KG;220;Z;PD;3002;V;4337,77;USD;1000;GELFORT;;
624;700;;Karton Relicon Religel 1l bedruckt;16.09.2021;ROH;8010;ST;70;D;PD;3025;V;1337,26;EUR;1000;SZEGEDI;;
6391.2;2210;;(Z) Bayhydrol UH XP 2658;13.03.2025;ROH;1026;KG;220;D;PD;3003;V;6130;USD;1000;SZEGEDI;;
6391.2;2250;;(Z) Bayhydrol UH XP 2658;13.03.2025;ROH;1026;KG;220;Z;PD;3003;V;6130;USD;1000;SZEGEDI;;
6427.2;2210;;(Z) DESMODUR N 3300;13.03.2025;ROH;1032;KG;220;;PD;3003;V;0;USD;1000;GELFORT;;
6427.2;2250;;(Z) DESMODUR N 3300;13.03.2025;ROH;1032;KG;220;Z;PD;3003;V;0;USD;1000;GELFORT;;
6492.2;2210;;(Z) POLYCARBONATE HMCL-800 RC 29;13.03.2025;ROH;1066;KG;220;;PD;3003;V;6307,65;USD;1000;GELFORT;;
6492.2;2250;;(Z) POLYCARBONATE HMCL-800 RC 29;13.03.2025;ROH;1066;KG;220;Z;PD;3003;V;6307,65;USD;1000;GELFORT;;
6501.2;2210;;(L) METHYLISOBUTYLKETON;13.03.2025;ROH;4010;KG;220;;PD;3002;V;970;USD;1000;GELFORT;;
6501.2;2250;;(L) METHYLISOBUTYLKETON;13.03.2025;ROH;4010;KG;220;Z;PD;3002;V;970;USD;1000;GELFORT;;
6504.2;2210;;(L) METHYLETHYLKETON (MEK);13.03.2025;ROH;4010;KG;220;;PD;3002;V;2706,42;USD;1000;GELFORT;;
6504.2;2250;;(L) METHYLETHYLKETON (MEK);13.03.2025;ROH;4010;KG;220;Z;PD;3002;V;9339,15;USD;1000;GELFORT;;
